cpu_percent,cpu_freq,mem_usage,net_sent,net_recv,energy_j,cpu_deriv,mem_deriv,Split_Type,energy_per_packet,time_diff,throughput_sent,throughput_recv,tp_sent_roll_mean,tp_recv_roll_mean,tp_sent_roll_90pct,delta_net_sent,delta_net_recv,delta_net_sum,latence_classe
7.839426704140787,2601.706,6.651127579131493,128064160422,172289283500,6.69146011549526,0.0062409090213266,0.0,2,2.2278619576051846e-11,1.0,114070152.0,153185854.0,119903345.6,161265541.6,122139065.0,114070152.0,153185854.0,267256006.0,2
7.845604629569627,2601.706,6.651127579131493,128178545890,172443231254,6.696510177438332,0.0061779254288403,0.0,2,2.2275532534792566e-11,1.0,114385468.0,153947754.0,118405258.8,159246344.8,122139065.0,114385468.0,153947754.0,268333222.0,2
7.851842067488607,2601.706,6.651127579131493,128294241172,172599210032,6.701834211573517,0.0062374379189797,0.0,2,2.2273114236141355e-11,1.0,115695282.0,155978778.0,117633057.6,158322521.2,122139065.0,115695282.0,155978778.0,271674060.0,2
7.858077136425587,2601.706,6.651127579131493,128410007040,172754817518,6.7067921961231,0.0062350689369798,0.0,2,2.226950709122894e-11,1.0,115765868.0,155607486.0,116884860.4,157217031.2,122139065.0,115765868.0,155607486.0,271373354.0,2
7.864316051418019,2601.706,6.651127579131493,128526938242,172912089722,6.712066333317045,0.0062389149924317,0.0,2,2.2266746209514212e-11,1.0,116931202.0,157272204.0,115369594.4,155198415.2,122139065.0,116931202.0,157272204.0,274203406.0,2
7.870522833550303,2601.706,6.651127579131493,128639243246,173063573960,6.715990342622873,0.0062067821322839,0.0,2,2.226028382770206e-11,1.0,112305004.0,151484238.0,115016564.8,154858092.0,122139065.0,112305004.0,151484238.0,263789242.0,1
7.876793122801565,2601.706,6.651127579131493,128753972054,173217764012,6.721519535823882,0.0062702892512618,0.0,2,2.2258770384903848e-11,1.0,114728808.0,154190052.0,115085232.8,154906551.6,120051412.39999999,114728808.0,154190052.0,268918860.0,2
7.882979183344832,2601.706,6.651127579131493,128871518248,173375527076,6.727107424058496,0.0061860605432677,0.0,2,2.225698324642755e-11,1.0,117546194.0,157763064.0,115455415.2,155263408.8,120006921.8,117546194.0,157763064.0,275309258.0,2
7.889212293916126,2601.706,6.651127579131493,128989863270,173534894834,6.732334264715531,0.0062331105712933,0.0,2,2.2253829097852323e-11,1.0,118345022.0,159367758.0,115971246.0,156015463.2,118961273.0,118345022.0,159367758.0,277712780.0,2
7.895101033479307,2601.706,6.651127579131493,129084947744,173663100444,6.731602986766076,0.005888739563181,0.0,2,2.223500044692574e-11,1.0,95084474.0,128205610.0,111601900.4,150202144.4,117626076.8,95084474.0,128205610.0,223290084.0,0
