cpu_percent,cpu_freq,mem_usage,net_sent,net_recv,energy_j,cpu_deriv,mem_deriv,Split_Type,energy_per_packet,time_diff,throughput_sent,throughput_recv,tp_sent_roll_mean,tp_recv_roll_mean,tp_sent_roll_90pct,delta_net_sent,delta_net_recv,delta_net_sum,latence_classe,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,cluster_kmeans,cluster_dbscan,cluster_agg,cluster_gmm,cluster_som,cluster_deep
7.703019999073882,2601.706,6.650874808289115,125475908216,168807357816,6.582877310624888,0.0061772583462005,0.0,2,2.2369186666254665e-11,1.0,116265038.0,156467114.0,117947744.0,158646580.8,122368201.2,0.0,0.0,0.0,0,2.2474692936199636,0.40205557213492193,-0.2698900971097604,0.23714585494648774,-0.014350980369801784,0.008619000632096288,0.3421484095676215,0,0,2,0,45,0
7.709229544810952,2601.706,6.650874808289115,125599925250,168974730108,6.589710664614543,0.0062095457370698,0.0,2,2.2370256723566362e-11,1.0,124017034.0,167372292.0,118278811.6,159179758.8,122585776.6,124017034.0,167372292.0,291389326.0,2,2.4780521664502926,0.9093707758065007,-0.3608753862139406,0.3201481276321212,0.03143980728395941,0.008147281146188028,-0.01347453014591318,0,0,2,0,61,0
7.715403507743121,2601.706,6.650874808289115,125715339410,169129589184,6.592538225960279,0.006173962932169,0.0,2,2.235934074700729e-11,1.0,115414160.0,154859076.0,118144114.4,158894252.4,122585776.6,115414160.0,154859076.0,270273236.0,2,2.360575647272857,0.6938458232336754,-0.3071803003610201,0.37415468808659386,0.012959812876540895,0.09845423187788085,0.23184909682045585,0,0,2,0,60,0
7.721555865090241,2601.706,6.651127579131493,125826783162,169279472510,6.596570551454824,0.00615235734712,0.000252770842378,2,2.235320473445563e-11,1.0,111443752.0,149883326.0,117021730.4,157318151.2,122585776.6,111443752.0,149883326.0,261327078.0,1,2.3374265149944873,0.4227836997571772,-0.2692959400411729,0.4248479157081026,0.6255721114770395,0.04423463057017629,0.1844939875667902,0,0,2,0,55,0
7.727746693132621,2601.706,6.651127579131493,125942426672,169435390614,6.602546667488728,0.0061908280423805,0.0,2,2.235288596873814e-11,1.0,115643510.0,155918104.0,116556698.8,156899982.4,122585776.6,115643510.0,155918104.0,271561614.0,2,2.345175866921809,0.6664009562152432,-0.29469872407033065,0.3941300243387881,0.01929701533034648,0.07655153102910567,0.19905659845100382,0,0,2,0,60,0
7.733953510615546,2601.706,6.651127579131493,126061260248,169595252016,6.608225457875068,0.0062068174829246,0.0,2,2.2351022838199477e-11,1.0,118833576.0,159861402.0,117070406.4,157578840.0,122527229.8,118833576.0,159861402.0,278694978.0,2,2.396700264339647,0.7485842323896016,-0.316901712005523,0.37746577280481564,0.02478413093658255,0.048883507292677125,0.11815245073941615,0,0,2,0,61,0
7.740108219760682,2601.706,6.651127579131493,126177521632,169751415372,6.612522201391176,0.0061547091451359,0.0,2,2.23449665596636e-11,1.0,116261384.0,156163356.0,115519276.4,155337052.8,119351921.8,116261384.0,156163356.0,272424740.0,2,2.3132985422429315,0.5760238035021099,-0.26094768921135825,0.348869905851569,0.02720766184427497,0.04329916207406095,0.06726944258244272,0,0,2,0,52,0
7.746311224173963,2601.706,6.651127579131493,126295736302,169910288892,6.617950949921801,0.0062030044132814,0.0,2,2.2342391399997274e-11,1.0,118214670.0,158873520.0,116079378.4,156139941.6,119351921.8,118214670.0,158873520.0,277088190.0,2,2.349804643249266,0.640181980553921,-0.27852196330048073,0.3686724315506355,0.03205994950813738,0.022428231498754253,0.015572776013909866,0,0,2,0,52,0
7.752413177119975,2601.706,6.651127579131493,126412912238,170068051650,6.62261756267861,0.006101952946012,0.0,2,2.2337412412017118e-11,1.0,117175936.0,157762758.0,117225815.2,157715828.0,119351921.8,117175936.0,157762758.0,274938694.0,2,2.367340692539612,0.6356543947990351,-0.28341395334177344,0.28841008038729093,0.021896191130587654,0.05666073804986118,0.06248520270855473,0,0,2,0,59,0
7.758652762464366,2601.706,6.651127579131493,126531305058,170227423266,6.627891805154123,0.0062395853443906,0.0,2,2.233427755465314e-11,1.0,118392820.0,159371616.0,117775677.2,158406530.4,119351921.8,118392820.0,159371616.0,277764436.0,2,2.386306571383444,0.6908337192707995,-0.2971554599966111,0.3895059208775138,0.03009061568208339,0.030051430705310425,0.023889393089718516,0,0,2,0,59,0
7.764965460993251,2601.706,6.651127579131493,126649706904,170386295700,6.632892948377232,0.0063126985288848,0.0,2,2.2330265995465933e-11,1.0,118401846.0,158872434.0,117689331.2,158208736.8,119351921.8,118401846.0,158872434.0,277274280.0,2,2.380194916945399,0.6901413742796706,-0.2956142813316446,0.4532475225379246,0.033977178167295105,0.02021387147043746,0.021507361116332193,0,0,2,0,59,0
7.771170004453963,2601.706,6.651127579131493,126764131376,170540492274,6.636991259745801,0.0062045434607123,0.0,2,2.2323875015005342e-11,1.0,114424472.0,154196574.0,117321948.8,157815380.4,118445019.0,114424472.0,154196574.0,268621046.0,2,2.327759238744733,0.564613523893167,-0.2626638805046236,0.3947436324247537,0.023821279136775536,0.061814922807258685,0.09691092155091381,0,0,2,0,52,0
7.777389452585368,2601.706,6.651127579131493,126880273464,170696658318,6.642335526850925,0.0062194481314046,0.0,2,2.232140605481137e-11,1.0,116142088.0,156166044.0,116907432.4,157273885.2,118445019.0,116142088.0,156166044.0,272308132.0,2,2.3446381658485613,0.590507767958583,-0.26762331862677013,0.39561995988172266,0.028830305621962114,0.04044928218833396,0.047880754617164734,0,0,2,0,52,0
