timestamp,cpu_percent,cpu_freq,mem_usage,net_sent,net_recv,energy_j,cpu_deriv,mem_deriv
2025-05-09 13:32:30,4.500000000000000,2601.706,6.650874808289115,93378727750,125424035458,,,
2025-05-09 13:32:31,4.503947589121312,2601.706,6.650874808289115,93311529232,125535798052,5.359586130684708,0.003947589121312,0.0
2025-05-09 13:32:32,4.507865002583234,2601.706,6.650874808289115,93395805357,125649226146,5.3636092504558305,0.003917413461922,0.0
2025-05-09 13:32:33,4.511744297262452,2601.706,6.650874808289115,93481896814,125764895673,5.367675013803615,0.003879294679218,0.0
2025-05-09 13:32:34,4.515682399647527,2601.706,6.650874808289115,93572807061,125886691624,5.372152584293326,0.003938102385075,0.0
2025-05-09 13:32:35,4.519675205186227,2601.706,6.650874808289115,93665127122,126009093684,5.376042880192665,0.0039928055387,0.0
2025-05-09 13:32:36,4.523625812287501,2601.706,6.650874808289115,93756498294,126131623485,5.379614405137378,0.003950607101274,0.0
2025-05-09 13:32:37,4.527548551765012,2601.706,6.650874808289115,93843314128,126247588441,5.382471650141831,0.003922739477511,0.0
2025-05-09 13:32:38,4.531470334089349,2601.706,6.650874808289115,93930700882,126365161315,5.385923841250737,0.003921782324337,0.0
2025-05-09 13:32:39,4.535410555545781,2601.706,6.650874808289115,94019123083,126483668026,5.389280439885181,0.003940221456432,0.0
2025-05-09 13:32:40,4.539329999073882,2601.706,6.650874808289115,94105731162,126600518362,5.392360145308799,0.003919443528101,0.0
2025-05-09 13:32:41,4.543264093635752,2601.706,6.650874808289115,94199943812,126727297581,5.395986537896647,0.00393409456187,0.0
2025-05-09 13:32:42,4.547166130573121,2601.706,6.650874808289115,94286504357,126845691888,5.398584108872632,0.003902036937369,0.0
2025-05-09 13:32:43,4.551048398667241,2601.706,6.651127579131493,94370087271,126959604382,5.401976039772557,0.00388226809412,0.00025277084237806946
2025-05-09 13:32:44,4.554949119387621,2601.706,6.651127579131493,94456820004,127076542960,5.405912159706156,0.00390072072038,0.0
2025-05-09 13:32:45,4.558866257711546,2601.706,6.651127579131493,94545945236,127196439012,5.409621390317562,0.003917138323924,0.0
2025-05-09 13:32:46,4.562740164710682,2601.706,6.651127579131493,94633141124,127313061529,5.412735913285641,0.003873906999936,0.0
2025-05-09 13:32:47,4.566662342123963,2601.706,6.651127579131493,94722102226,127431216669,5.416236829846945,0.003922177413281,0.0
2025-05-09 13:32:48,4.570508382619975,2601.706,6.651127579131493,94809719278,127548038737,5.419129505535458,0.003846040495012,0.0
2025-05-09 13:32:49,4.574489082464366,2601.706,6.651127579131493,94923478793,127666567699,5.422250444426801,0.003980699844391,0.0
2025-05-09 13:32:50,4.578509460993251,2601.706,6.651127579131493,95037530178,127784721825,5.42518720191979,0.004020389528885,0.0
2025-05-09 13:32:51,4.582482503453963,2601.706,6.651127579131493,95147348632,127899369205,5.427794022599346,0.003973042460712,0.0
2025-05-09 13:32:52,4.586473452585368,2601.706,6.651127579131493,95260205348,128015993738,5.431111436841754,0.003990949131405,0.0
2025-05-09 13:32:53,4.590508362289914,2601.706,6.651127579131493,95371993816,128132451342,5.434090230697292,0.004034909704546,0.0
2025-05-09 13:32:54,4.59445383687614,2601.706,6.651127579131493,95482388106,128246375607,5.436673163092289,0.003945474586226,0.0
2025-05-09 13:32:55,4.598413354568261,2601.706,6.651127579131493,95594975355,128363834295,5.440100969394737,0.003959517692122,0.0
2025-05-09 13:32:56,4.60244958107237,2601.706,6.651127579131493,95707899846,128480105717,5.44275508712543,0.004036226504108,0.0
2025-05-09 13:32:57,4.6065190998660705,2601.706,6.651127579131493,95823932820,128600216844,5.446249090153851,0.004069518793701,0.0
2025-05-09 13:32:58,4.610564661518501,2601.706,6.651127579131493,95939963947,128721749647,5.449159563837167,0.00404556165243,0.0
2025-05-09 13:32:59,4.614614378993385,2601.706,6.651127579131493,96054806813,128840697569,5.451751674311618,0.004049717474884,0.0
2025-05-09 13:33:00,4.618731505081569,2601.706,6.651127579131493,96169637053,128960049271,5.454631234344058,0.004117126088184,0.0
2025-05-09 13:33:01,4.62275179511946,2601.706,6.651127579131493,96287567702,129102073234,5.457996896807805,0.004020290037891,0.0
2025-05-09 13:33:02,4.626876704140787,2601.706,6.651127579131493,96398120316,129216962625,5.460280714109512,0.004124909021327,0.0
2025-05-09 13:33:03,4.630956629569627,2601.706,6.651127579131493,96508909217,129332423440,5.463076941957941,0.00407992542884,0.0
2025-05-09 13:33:04,4.635082067488607,2601.706,6.651127579131493,96623280879,129449407524,5.466053976688683,0.00412543791898,0.0
2025-05-09 13:33:05,4.639207136425587,2601.706,6.651127579131493,96737625530,129565863138,5.468803637102741,0.00412506893698,0.0
2025-05-09 13:33:06,4.643340051418019,2601.706,6.651127579131493,96852953681,129683567041,5.471843873592285,0.004132914992432,0.0
2025-05-09 13:33:07,4.647452833550303,2601.706,6.651127579131493,96961982434,129795430470,5.474606277687224,0.004112782132284,0.0
2025-05-09 13:33:08,4.651613122801565,2601.706,6.651127579131493,97067229040,129909823009,5.477822391576344,0.004160289251262,0.0
2025-05-09 13:33:09,4.655699183344832,2601.706,6.651127579131493,97178863686,130027895307,5.480967609606043,0.004086060543268,0.0
2025-05-09 13:33:10,4.659822293916126,2601.706,6.651127579131493,97289989702,130147421125,5.483991292581837,0.004123110571293,0.0
2025-05-09 13:33:11,4.663661033479307,2601.706,6.651127579131493,97362360708,130224825333,5.483347803127954,0.003838739563181,0.0
2025-05-09 13:33:12,4.667614487310789,2601.706,6.651127579131493,97464555128,130349341260,5.486268156825706,0.003953453831482,0.0
